,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
4475,4475,20009805,La Bendición La Torre,Not Specified,LA CANDELARIA,Medellin,Antioquia,CR 28C#108DC-1,CR 28C,108DC-1,CR,28C,108DC,1,CR 28C #108DC-1,6.2476376,-75.56581530000003
4476,4476,20009948,La Yedra,Carpinelo,POPULAR,Medellin,Antioquia,CR 23#101A-33,CR 23,101A-33,CR,23,101A,33,CR 23 #101A-33,6.289545299999999,-75.53805190000001
4477,4477,20009949,El Resplandor,Not Specified,POPULAR,Medellin,Antioquia,CR 23#102-3,CR 23,102-3,CR,23,102,3,CR 23 #102-3,6.29125,-75.538207
4478,4478,20010059,El Descanzo,La Esperanza 2,POPULAR,Medellin,Antioquia,CR 24 C # 97-03,CR 24 C , 97-03,CR,24 C , 97,03,CR 24C #97-03,6.286644099999998,-75.53943120000001
4479,4479,20010060,El Cucho,La Esperanza Nº 2,POPULAR,Medellin,Antioquia,CL 97#24C-62,CL 97,24C-62,CL,97,24C,62,CL 97 #24C-62,6.2865307999999995,-75.53966969999998
4480,4480,20010062,Tienda Cristian,La Esperanza Nº 2,POPULAR,Medellin,Antioquia,CL 97#24C-64,CL 97,24C-64,CL,97,24C,64,CL 97 #24C-64,6.2865183,-75.539687
4481,4481,20010063,La Gran Esquina,Not Specified,POPULAR,Medellin,Antioquia,CL 97A#24F-4,CL 97A,24F-4,CL,97A,24F,4,CL 97A #24F-4,6.2868723,-75.5404322
4482,4482,20010064,4 Esquinas,La Esperanza Nº 2,POPULAR,Medellin,Antioquia,CL 24F#97A-6,CL 24F,97A-6,CL,24F,97A,6,CL 24F #97A-6,6.287088199999999,-75.54027109999998
4483,4483,20010203,Granero Plaza,Campo Valdes Nº 1,ARANJUEZ,Medellin,Antioquia,CL 81#50C-46,CL 81,50C-46,CL,81,50C,46,CL 81 #50C-46,6.27511,-75.5614417
4484,4484,20010255,Tienda Sebas,Not Specified,POPULAR,Medellin,Antioquia,CL 101C#33-90,CL 101C,33-90,CL,101C,33,90,CL 101C #33-90,6.294860099999999,-75.542887
