,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
5018,5018,20000112,Diana Y Shanth,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 72 K # 3 A N - 23,CL 72 K , 3 A N - 23,CL,72 K , 3 A N , 23,CL 72K #3AN- 23,3.4949367999999996,-76.4937877
5019,5019,20000113,La Morena,Floralia,COMUNA 6,Cali,Valle del Cauca,CL 76 # 2 B N - 07,CL 76 , 2 B N - 07,CL,76 , 2 B N , 07,CL 76 #2BN- 07,3.4962004,-76.4930747
5020,5020,20000121,Tienda Valery,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,CL 73 BN # 2 A - 87,CL 73 BN , 2 A - 87,CL,73 BN , 2 A , 87,CL 73BN #2A- 87,3.4945292,-76.50235409999998
5021,5021,20000122,Tienda Mixta,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,AV 2 B2 # 72 N - 91,AV 2 B2 , 72 N - 91,AV,2 B2 , 72 N , 91,AV 2B2 #72N- 91,3.4941042,-76.50382309999998
5022,5022,20000123,Tienda Mixta,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,CL 75 BN # 2 - 71,CL 75 BN , 2 - 71,CL,75 BN , 2 , 71,CL 75BN #2- 71,3.4940557,-76.50103340000003
5023,5023,20000124,Miscelanea Valen,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,AV 2 BN # 75 CN - 49,AV 2 BN , 75 CN - 49,AV,2 BN , 75 CN , 49,AV 2BN #75CN- 49,3.4945025000000003,-76.50392420000001
5024,5024,20000127,Variedades Am,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,CL 73 BN # 2 - 110,CL 73 BN , 2 - 110,CL,73 BN , 2 , 110,CL 73BN #2- 110,3.4912822999999995,-76.50691069999998
5025,5025,20000128,Tienda Marcela,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,CL 74 AN # 2 A - 03,CL 74 AN , 2 A - 03,CL,74 AN , 2 A , 03,CL 74AN #2A- 03,3.4924622000000003,-76.5024255
5026,5026,20000129,Tienda Df,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,AV 2 A 4  # 75 CN - 113,AV 2 A 4  , 75 CN - 113,AV,2 A 4  , 75 CN , 113,AV 2A4 #75CN- 113,3.4956829,-76.50062129999998
5027,5027,20000132,Tienda As,Brisas De Los Alamos,COMUNA 2,Cali,Valle del Cauca,AV 2 A 5 # 75 EN - 11,AV 2 A 5 , 75 EN - 11,AV,2 A 5 , 75 EN , 11,AV 2A5 #75EN- 11,3.4958648,-76.5008684
5028,5028,20000135,Tienda La 4,Not Specified,COMUNA 6,Cali,Valle del Cauca,KR 4 A # 62 - 134,KR 4 A , 62 - 134,KR,4 A , 62 , 134,KR 4A #62- 134,3.4914207999999998,-76.49698230000001
5029,5029,20000136,Granos Y Verdura Mercalima,Calima,COMUNA 4,Cali,Valle del Cauca,CL 68 # 4 A - 04,CL 68 , 4 A - 04,CL,68 , 4 A , 04,CL 68 #4A- 04,3.4859690000000003,-76.50026899999999
5030,5030,20000137,Tienda El Oasis,Calima,COMUNA 4,Cali,Valle del Cauca,KR 7 NORTE # 67 N - 42,KR 7 NORTE , 67 N - 42,KR,7 NORTE , 67 N , 42,KR 7NORTE #67N- 42,3.4863584000000003,-76.5022441
5031,5031,20000138,Tienda Mixta La 4,Calima,COMUNA 4,Cali,Valle del Cauca,CR 4 N # 62 - 89,CR 4 N , 62 - 89,CR,4 N , 62 , 89,CR 4N #62- 89,3.4833328000000003,-76.4998428
